st,yr,lat,long,rain,rel_hum,cloud,avg_sun,temp
Khepupara,2016,21.98,90.22,222.1271209716797,78.95165252685547,3.5211398601531982,6.282761096954347,28.217323303222656
Jessore,2016,23.17,89.22,164.38006591796875,76.89447021484375,3.2364990711212163,5.38579797744751,28.036317825317386
Rangpur,2016,25.72,89.26,172.3789825439453,76.22975158691406,3.5435457229614262,6.107326984405518,27.31667137145996
Ishurdi,2016,24.12,89.04,180.2622833251953,76.98870086669922,3.396878957748413,6.2491087913513175,27.77484703063965
Hatiya,2016,22.29,91.13,239.15089416503903,80.65282440185547,3.650426387786865,6.1025757789611825,27.9624137878418
Tangail,2016,24.15,89.55,173.52931213378906,77.07424926757812,3.3962280750274663,5.866077899932861,27.87690734863281
Sandwip,2016,22.5,91.46,230.96322631835938,80.14701843261719,3.5885019302368164,6.183168888092041,28.12133598327637
Faridpur,2016,23.61,89.84,184.23460388183597,77.20577239990234,3.3407688140869136,6.104744911193848,28.12076759338379
Satkhira,2016,22.68,89.07,155.73312377929688,77.63923645019531,3.3407564163208012,6.157365322113037,28.04704093933105
Dhaka,2016,23.78,90.39,187.769287109375,73.8076171875,3.595134019851685,5.33876895904541,28.32742691040039
Sitakunda,2016,22.64,91.64,204.4826202392578,80.14225006103516,3.4760775566101074,6.523891925811768,28.07815361022949
Cox's Bazar,2016,21.46,91.98,251.06175231933597,78.7366714477539,3.6770076751708975,6.415870666503906,28.425296783447266
Comilla,2016,23.48,91.19,191.2507781982422,78.8411865234375,3.5779452323913574,6.442137718200684,27.942684173583984
Chuadanga,2016,23.65,88.81667,170.31935119628906,77.8184585571289,3.2807626724243164,6.088067054748535,27.83755302429199
Srimangal,2016,24.29,91.73,198.3596343994141,78.53450012207031,3.6504504680633545,5.961957931518555,27.504987716674805
Chittagong (IAP-Patenga),2016,22.34,91.79,217.77789306640625,79.223876953125,3.6289124488830566,6.6441826820373535,27.90789604187012
Syedpur,2016,25.75,88.916667,165.60496520996094,76.1075668334961,3.2586865425109863,6.000459671020508,27.38421058654785
Chittagong (City-Ambagan),2016,22.35,91.8166,215.9801483154297,78.11193084716797,3.680794954299927,6.40392541885376,28.34926414489746
Chandpur,2016,23.26,90.67,184.49169921875,78.62369537353516,3.7288179397583012,5.486251354217528,28.308387756347656
Bogra,2016,24.88,89.36,176.490478515625,75.49679565429688,3.44689679145813,5.537250995635986,27.87743759155273
Sylhet,2016,24.88,91.93,368.5986328125,76.4322509765625,4.215063571929932,5.886394500732423,28.26726531982422
Feni,2016,23.01,91.37,191.7840881347656,79.67375946044922,3.7096879482269287,5.97938871383667,27.92768859863281
Teknaf,2016,20.87,92.26,316.04534912109375,78.95240020751953,3.6134250164031982,6.760292530059815,27.927526473999023
Barisal,2017,22.7,90.36,180.43125915527344,79.59762573242188,3.591675281524658,6.20866060256958,28.16674423217773
Dinajpur,2017,25.63,88.66,168.4855499267578,75.22154235839844,3.3575839996337886,6.1439361572265625,27.34444236755371
Bhola,2017,22.7,90.66,183.3218536376953,79.68324279785156,3.528275966644287,5.7868266105651855,28.17064094543457
