st,yr,mn,max_temp,min_temp,rain,rel_hum,wind,cloud,sun
Mongla,2013,9,35.8,26.2,219.0,87.0,1.8,5.5,4.7
Mongla,2013,10,34.5,24.6,286.0,88.0,1.9,5.0,4.7
Mongla,2013,11,31.8,19.0,0.0,77.0,1.6,1.2,8.1
Mongla,2013,12,29.2,15.7,0.0,79.0,1.7,0.6,6.5
Mymensingh,2013,1,28.0,10.5,0.0,78.0,0.8,0.7,4.1
Mymensingh,2013,2,32.5,15.5,18.0,71.0,1.4,1.3,6.7
Mymensingh,2013,3,35.0,19.6,21.0,75.0,2.3,1.4,6.9
Mymensingh,2013,4,35.6,22.4,69.0,77.0,2.3,3.2,5.2
Mymensingh,2013,5,35.5,23.8,308.0,84.0,3.0,6.8,3.9
Mymensingh,2013,6,36.4,26.4,267.0,83.0,1.8,6.1,4.9
Mymensingh,2013,7,34.3,26.8,318.0,84.0,2.2,6.7,3.9
Mymensingh,2013,8,34.8,26.2,343.0,85.0,2.4,6.8,3.7
Mymensingh,2013,9,36.5,26.2,132.0,85.0,1.5,6.1,4.4
Mymensingh,2013,10,34.2,23.6,263.0,86.0,1.2,4.5,5.1
Mymensingh,2013,11,32.0,16.1,0.0,81.0,0.6,0.8,7.3
Mymensingh,2013,12,30.8,13.6,0.0,82.0,1.0,1.2,3.1
Patuakhali,2013,1,29.5,11.7,1.0,78.0,2.4,0.5,6.8
Patuakhali,2013,2,33.5,15.5,4.0,72.0,2.5,1.4,8.0
Patuakhali,2013,3,36.5,20.6,0.0,73.0,2.1,2.0,8.3
Patuakhali,2013,4,37.2,24.0,27.0,78.0,2.1,3.1,8.5
Patuakhali,2013,5,38.0,25.0,637.0,88.0,4.0,6.8,3.8
Patuakhali,2013,6,36.0,26.6,333.0,87.0,2.1,5.4,5.1
Patuakhali,2013,7,33.6,26.2,552.0,90.0,2.3,6.2,4.8
Patuakhali,2013,8,34.6,26.1,411.0,90.0,2.0,6.2,3.6
Patuakhali,2013,9,35.6,25.8,412.0,91.0,1.7,5.7,4.5
Patuakhali,2013,10,34.6,24.4,281.0,89.0,1.8,4.9,4.6
Patuakhali,2013,11,32.0,18.7,0.0,80.0,2.0,1.4,8.4
Patuakhali,2013,12,30.2,14.9,0.0,82.0,1.5,0.9,6.7
Rajshahi,2013,1,27.0,9.3,0.0,79.0,1.7,0.7,5.3
Rajshahi,2013,2,32.8,13.6,22.0,74.0,2.2,1.4,7.9
Rajshahi,2013,3,37.4,18.2,12.0,65.0,2.2,0.8,8.3
Rajshahi,2013,4,41.2,22.6,51.0,63.0,2.3,2.1,7.6
Rajshahi,2013,5,40.5,24.8,188.0,80.0,2.8,5.5,4.3
Rajshahi,2013,6,37.4,26.5,178.0,83.0,2.0,5.1,5.9
